"dgm","model","est","posrate","bias"
"linear","unbiased",0.301866143858086,0.28809475159789,0.0137713922601959
"walk","const",0.25134903311058,0.260730266660598,-0.0093812335500183
"walk","linear",0.262158006108536,0.260730266660598,0.00142773944793739
"walk","walk",0.253707460464794,0.260730266660598,-0.00702280619580464
"walk","unbiased",0.257763443139092,0.260730266660598,-0.00296682352150651
"constant","const",0.754763701421848,0.764495108904502,-0.00973140748265411
"constant","linear",0.750718151925147,0.764495108904502,-0.0137769569793543
"constant","walk",0.75546734699524,0.764495108904502,-0.00902776190926191
"constant","unbiased",0.766106027586683,0.764495108904502,0.00161091868218111
"linear","const",0.190297062828342,0.15869193211476,0.0316051307135818
"linear","linear",0.158459823930013,0.15869193211476,-0.000232108184746366
"linear","walk",0.180875149801363,0.15869193211476,0.0221832176866036
"linear","unbiased",0.18135285145781,0.15869193211476,0.0226609193430498
"walk","const",0.572370846066653,0.61345196396778,-0.0410811179011269
"walk","linear",0.59479982196796,0.61345196396778,-0.0186521419998206
"walk","walk",0.592736995771402,0.61345196396778,-0.0207149681963782
"walk","unbiased",0.595458380129382,0.61345196396778,-0.0179935838383981
"constant","const",0.553611805081386,0.546960828044033,0.00665097703735329
"constant","linear",0.523539024430275,0.546960828044033,-0.0234218036137581
"constant","walk",0.55153013925237,0.546960828044033,0.00456931120833737
"constant","unbiased",0.566858538395337,0.546960828044033,0.0198977103513038
"linear","const",0.503527264522196,0.465870209732779,0.0376570547894168
"linear","linear",0.543519833616421,0.465870209732779,0.0776496238836424
"linear","walk",0.53235785722911,0.465870209732779,0.0664876474963313
"linear","unbiased",0.552171935508739,0.465870209732779,0.0863017257759601
"walk","const",0.853007652561107,0.874806831725077,-0.0217991791639699
"walk","linear",0.847873576448169,0.874806831725077,-0.0269332552769078
"walk","walk",0.845046044352078,0.874806831725077,-0.0297607873729987
"walk","unbiased",0.836457502471507,0.874806831725077,-0.0383493292535697
"constant","const",0.184466438803504,0.183891773848624,0.000574664954880066
"constant","linear",0.17021224262997,0.183891773848624,-0.0136795312186536
"constant","walk",0.179941421128055,0.183891773848624,-0.00395035272056907
"constant","unbiased",0.177523396613742,0.183891773848624,-0.0063683772348819
"linear","const",0.11617043159566,0.100160384444215,0.0160100471514455
"linear","linear",0.112065324644665,0.100160384444215,0.0119049402004506
"linear","walk",0.117759098613718,0.100160384444215,0.0175987141695036
"linear","unbiased",0.138969953624031,0.100160384444215,0.0388095691798165
"walk","const",0.318776500649849,0.348023305763297,-0.0292468051134478
"walk","linear",0.341755689699326,0.348023305763297,-0.0062676160639713
